regime,qqq_cagr,qqq_dd,纯QQQ_final,持有TQQQ_final,TQQQ+SMA全程_final,组合_final,纯QQQ_dd,持有TQQQ_dd,TQQQ+SMA全程_dd,组合_dd
有大跌/震荡,15.048425415052847,-49.07716914529855,1035003.3673113835,1456231.970102816,2002804.565618648,600224.9530837191,-48.690670714242465,-91.51546581582797,-71.46443710606133,-71.46443710606133
有大跌/震荡,11.037235590315465,-50.054097130498995,1255635.7143247107,1264122.181360217,2448729.9222930325,1107401.1946534594,-45.81135505878065,-90.13404061835631,-73.8176438081285,-73.8176438081285
有大跌/震荡,-1.5526441184528506,-69.73586803549459,251499.71982934003,10779.220057208651,102036.28408469121,219860.96385753556,-67.13725783279814,-99.50836904030236,-90.28589883859931,-81.65783187998252
强劲平稳,37.517849012569314,-22.461193242084242,5009187.140346333,252553262.05209866,122583491.4251115,18211246.416458495,-18.827590173892585,-54.85506827276121,-51.08383034163031,-48.449114280546645
有大跌/震荡,3.9456701675623096,-73.12903722308286,499314.181421535,199622.90600783023,410083.469404905,321647.94319307146,-46.99019074219743,-94.98883985998992,-73.49079293929447,-73.49079293929447
有大跌/震荡,13.808630892157336,-44.15055941363537,876405.8034720097,629985.0500716843,285107.6316495451,872879.9407173735,-42.25787157331627,-86.52951372437082,-78.95843291066319,-68.53420795404664
有大跌/震荡,-4.430920291991436,-75.85884680732433,210049.26779818806,15542.386281746334,39339.99893751658,146780.24220035187,-42.88043663383515,-98.10672540670258,-94.45289882547321,-85.61501067669914
有大跌/震荡,15.845338349949213,-38.9753140435016,1126529.4247342702,1596676.7830792493,866141.4876204618,1733865.838787407,-35.38269431398719,-79.08506057665079,-77.71059775330589,-61.92714016832981
有大跌/震荡,-2.2222265292033527,-59.321692146754,309527.5921503791,44247.3856688582,57259.81508344609,146738.5510421296,-39.245160995971986,-89.5337976115964,-85.39071680908353,-71.52891247118023
有大跌/震荡,24.718071846623356,-40.87559925175183,1643167.0202823768,5998674.720450613,3881350.9143686458,2855051.3209422994,-36.94555062209551,-82.9075731303097,-65.15322638027416,-65.15322638027416
有大跌/震荡,14.153672464310919,-44.77962594445517,810993.5493664598,529752.3464162137,424559.5979399978,605157.2913001834,-44.77961252779611,-89.45392084544982,-82.1909851177879,-58.505734694091814
有大跌/震荡,9.248110123769425,-62.060495584353184,552312.3405962124,177934.51170814782,1105136.7464182426,1006334.2158558377,-61.91561224119291,-96.73637486748527,-71.59043375865275,-61.91561224119284
有大跌/震荡,3.8209132008581115,-58.65138943617956,548370.0920349201,249695.2854388593,985742.8900542108,804901.4329021077,-58.62353588901803,-95.1845239694672,-76.55512856556194,-58.62353588901805
有大跌/震荡,10.199349642917621,-41.21319516221791,905329.518207333,912993.8209968717,435709.7388955538,573670.8450059905,-31.644544433866773,-75.35020430042148,-60.893357978040626,-60.893357978040626
