peak_date,recovery_date,recovered,era,dd_years,depth_pct,qqq_rt_pct,tqqq_trough_pct,tqqq_rt_pct,tqqq_underwater
2023-12-26,2024-01-18,True,real,0.06297056810403832,-3.5026121880745165,0.5664160487732328,-10.64951288838455,0.5656254017225804,False
2024-01-29,2024-02-02,True,real,0.010951403148528405,-2.6112410597992297,0.20084582537605034,-7.7623990330613735,0.29788293229511265,False
2024-02-07,2024-02-22,True,real,0.04106776180698152,-1.4768880282362562,1.4074403358433019,-5.024862741692848,3.189838570401693,False
2024-02-29,2024-03-21,True,real,0.057494866529774126,-1.1571773446975686,1.6992145372708434,-4.30749339136709,3.91901108274908,False
2024-03-21,2024-05-15,True,real,0.15058179329226556,-7.002042340772352,1.5766953798397099,-20.83199810854316,1.5519936689011748,False
2024-05-24,2024-06-05,True,real,0.03285420944558522,-1.580957553792861,1.2184657200490667,-4.315223876471707,3.2134558437386884,False
2024-07-02,2024-11-06,True,real,0.34770704996577684,-10.72117889562476,3.965355145748073,-31.21686464466864,2.3069428636650846,False
2024-11-06,2024-12-02,True,real,0.07118412046543464,-1.7821137372453721,1.9205599322656752,-5.82044121252715,4.590420785059046,False
2024-12-06,2024-12-11,True,real,0.013689253935660506,-1.1168635552831319,0.653398716830389,-3.3963835549617682,1.7665892655285953,False
2024-12-13,2025-02-14,True,real,0.17248459958932238,-4.643577015765898,1.5998639074923604,-14.97566289069483,0.8148862893254227,False
2025-02-14,2025-06-24,True,real,0.35592060232717315,-22.57168883312478,0.5652906216747411,-56.568223135696584,-12.801493285242882,True
2025-07-24,2025-08-07,True,real,0.038329911019849415,-1.969873178415693,0.7486600169708257,-6.2203154195839545,1.4928687689728548,False
2025-08-12,2025-09-09,True,real,0.07665982203969883,-2.8911172881615266,0.07931662234546,-8.68877144415421,-0.8762682846399139,True
2025-10-08,2025-10-20,True,real,0.03285420944558522,-3.588257169689113,0.01633250416519516,-10.846796212491416,-0.9092539989348336,True
2025-10-24,2026-04-15,True,real,0.4736481861738535,-9.300891238730536,3.5530757057128604,-31.237208617117997,0.9936528641517395,False
2026-05-13,2026-05-26,True,real,0.03559206023271732,-1.844103520390461,2.1785069252624245,-5.580007350848726,6.097875731146218,False
